Title,Average Total Pay Growth (%),Percentage change (monthly) All property types
2003 JAN,2.5,-0.72
2003 FEB,2.2,-1.05
2003 MAR,2.8,2.13
2003 APR,3,2.41
2003 MAY,3.3,-0.7
2003 JUN,2.7,0.24
2003 JUL,2.7,1.73
2003 AUG,2.9,1.78
2003 SEP,3.3,-0.3
2003 OCT,3.7,1.75
2003 NOV,3.9,-1.12
2003 DEC,4.1,1.97
2004 JAN,5.1,0.59
2004 FEB,4.9,-0.96
2004 MAR,4.7,0.22
2004 APR,3.7,4.54
2004 MAY,4.1,1.21
2004 JUN,4.2,1.76
2004 JUL,4.1,2.14
2004 AUG,4.1,1.15
2004 SEP,4.1,-0.2
2004 OCT,4.2,0.74
2004 NOV,4.2,-0.13
2004 DEC,4.3,-0.73
2005 JAN,4.2,-0.07
2005 FEB,4.6,-0.1
2005 MAR,4.5,0.82
2005 APR,4.6,1.42
2005 MAY,4.3,1.07
2005 JUN,4.5,0.79
2005 JUL,4.6,1.29
2005 AUG,4.8,0.41
2005 SEP,5,-0.16
2005 OCT,4.8,-0.2
2005 NOV,4.7,0.3
2005 DEC,4.5,0.55
2006 JAN,4.2,-0.15
2006 FEB,4.4,0.16
2006 MAR,4.9,0.81
2006 APR,5.3,2.17
2006 MAY,5,0.95
2006 JUN,4.9,0.95
2006 JUL,5,1.44
2006 AUG,4.7,0.84
2006 SEP,4.1,0.41
2006 OCT,4,0.59
2006 NOV,4.2,0.51
2006 DEC,4.9,1.25
2007 JAN,5.4,-0.03
2007 FEB,6.2,0.28
2007 MAR,5.8,0.78
2007 APR,5.3,2.02
2007 MAY,4.5,1.15
2007 JUN,4.4,1.09
2007 JUL,4.6,1.26
2007 AUG,4.8,0.58
2007 SEP,5.2,0.13
2007 OCT,5,-0.23
2007 NOV,4.9,-0.05
2007 DEC,4.1,-0.16
2008 JAN,3.8,-1.8
2008 FEB,3.6,-0.86
2008 MAR,4.1,-0.73
2008 APR,4.6,0.17
2008 MAY,4.7,0.61
2008 JUN,4.2,-1.32
2008 JUL,3.7,-1.09
2008 AUG,3.3,-2.09
2008 SEP,3.1,-2.52
2008 OCT,3.1,-2.03
2008 NOV,2.8,-2.81
2008 DEC,2.8,-1.53
2009 JAN,1,-2.31
2009 FEB,-1.8,-1.16
2009 MAR,-2.9,-0.62
2009 APR,-1.8,0.91
2009 MAY,0.5,1.38
2009 JUN,1.1,0.99
2009 JUL,0.8,1.79
2009 AUG,0.8,0.99
2009 SEP,0.7,0.79
2009 OCT,0.6,0.67
2009 NOV,0.7,0.34
2009 DEC,0.7,0.66
2010 JAN,2,-0.36
2010 FEB,4.6,0.25
2010 MAR,4.9,-0.01
2010 APR,3.7,1.28
2010 MAY,1.2,0.48
2010 JUN,1,0.49
2010 JUL,1.2,1.01
2010 AUG,1.3,-0.01
2010 SEP,1.5,-0.26
2010 OCT,1.7,-1.11
2010 NOV,1.8,-1.19
2010 DEC,1.9,-0.18
2011 JAN,2.7,-0.83
2011 FEB,2.6,-0.53
2011 MAR,2.8,-0.46
2011 APR,2.1,1.55
2011 MAY,2.4,-0.44
2011 JUN,2.5,0.17
2011 JUL,2.8,1.26
2011 AUG,2.7,0.06
2011 SEP,2.2,-0.25
2011 OCT,1.9,-1.1
2011 NOV,1.9,0.05
2011 DEC,1.9,-0.42
2012 JAN,1.2,-0.68
2012 FEB,0.8,-0.27
2012 MAR,0.6,0.3
2012 APR,1.3,1.15
2012 MAY,1.5,0.32
2012 JUN,1.6,0.98
2012 JUL,1.5,0.38
2012 AUG,1.7,0.12
2012 SEP,1.8,-0.36
2012 OCT,1.7,-0.71
2012 NOV,1.5,0.08
2012 DEC,1.2,-0.23
2013 JAN,1.1,-0.67
2013 FEB,1,-0.02
2013 MAR,0.5,0.6
2013 APR,1.4,0.98
2013 MAY,1.7,0.53
2013 JUN,2.2,0.83
2013 JUL,1.2,1.12
2013 AUG,0.8,0.8
2013 SEP,0.7,0.07
2013 OCT,0.8,-0.41
2013 NOV,0.8,0.55
2013 DEC,1,0.92
2014 JAN,1.2,0.12
2014 FEB,1.7,0.41
2014 MAR,1.7,0.34
2014 APR,0.6,2.23
